"","descripteur1","descripteur2","descripteur4","descripteur5","descripteur6","descripteur7","descripteur9","descripteur11","descripteur12","descripteur14","descripteur15","descripteur16","descripteur17","descripteur18","descripteur20","descripteur21","descripteur23","descripteur25","descripteur26","descripteur27","descripteur28","descripteur29","descripteur32","descripteur33","descripteur34","descripteur35","descripteur36","descripteur37","descripteur38","descripteur39","descripteur40","descripteur41","descripteur42","descripteur43","descripteur47","descripteur48","descripteur51","descripteur53","descripteur55","descripteur56","descripteur57","descripteur58","descripteur60","descripteur62","descripteur63","descripteur67","descripteur68","descripteur71","descripteur72","descripteur74"
"molecule168","-72.13893899999999","125.076471","-1.96355928","-0.2043922","-0.03731373","0.16707847","-0.05311818","474.60618477","790.65431996","2","-1.577","-1.0676","21.385197","1.650105","26","5.739999","4.739999","3.125897","0.942809","1.485599","0.853502","0.2464","53.302967","171.149887","111.146782","22.655022","0","87.31493620000001","1.18056547","496.90433892","2.34481569","90.09512968","36.40148479","13.86159721","0.7517730500000001","9.205500130000001","2.70746644","90.98706704","44.794275","-264.210282","637.712247","45.557853","0.174323","40.003227","97.611874","-12.591045","0.255973","3.512398","244.86225","0.063059"
"molecule173","-35.694956","118.621397","-1.41983746","-0.21880278","-0.08299958","0.1358032","-0.02736332","449.24075772","764.47717217","3","-0.7933","-0.8811","15.2293","1.753259","22","5.58","2.58","2.642735","1.333333","2.19877","1.551545","0.5643820000000001","43.01955","105.898155","70.36869","21.21928","0","82.16100864000001","1.31589183","348.34551159","2.03388276","82.93853881","27.77429337","21.7673945","0.66024341","6.69371806","1.16559548","85.64343447","-20.581323","-230.309352","425.654299","35.072442","0.140028","28.789273","48.927369","-10.908518","0.311209","3.82179","230.90717","0.07809199999999999"
"molecule175","-64.79576400000001","108.805638","-1.35923432","-0.2527495","-0.01026222","0.24248727","-0.03655496","410.72737706","685.79637986","3","-1.4886","-1.0414","18.212997","0.9308920000000001","20","4.909999","0","2","0","2.931852","2.488581","0","43.01955","57.359402","37.467213","19.60964","0","75.1129342","1.26630655","207.53179424","1.79436976","52.30684056","21.54264476","20.98743513","0.64069264","6.55855461","1.2258205","79.24243541","-0.8955920000000001","-107.802806","214.794117","21.41182","0.090325","27.991014","25.362658","-6.313073","0.269065","8.460418000000001","157.765985","0.334471"
"molecule178","-35.324877","112.031754","-1.84673218","-0.19989251","-0.03612034","0.16377218","-0.01653353","418.96630644","699.91555718","1","-0.744099","-0.4991","20.187302","1.571817","16","4.470001","3.47","2.270056","0.816497","1.388328","1.069021","0.210819","24","56","48.486763","18.613178","0","78.39225171","0.93242632","224.46060547","1.90420975","70.00176676","28.20419023","19.03362607","0.6994949499999999","7.19828013","1.70960447","81.43397435","115.600302","-84.170801","322.517724","27.714243","0.114606","43.216226","57.63748","-6.327291","0.300592","16.102692","68.907374","0.715049"
"molecule185","17.775564","101.391546","-1.26866903","-0.20669821","-0.06737216","0.13932605","-0.01387087","402.61904733","666.37500416","2","0.2444","0.452","21.114599","1.20203","12","3.89","0","1.732051","0","1.42082","1.256231","0","15.509775","23.264662","24.98045","14.919684","0","69.88494024000001","1.07503849","197.0337724","1.76323494","59.34747495","24.87587188","17.94348624","0.703125","6.32692448","1.35975414","72.26942518","39.271948","-103.827026","251.084899","23.172042","0.102061","30.232036","33.433609","-7.821597","0.227869","11.0931","124.423005","0.451981"
"molecule190","-68.374045","136.314564","-2.28215931","-0.21077195","-0.06814858","0.14262337","-0.02429217","500.78761217","879.78166571","3","0.4102","-0.6083","24.595999","2.222155","26","6.300001","5.300001","3.125897","0.942809","1.884838","1.325486","0.416391","53.302967","171.149887","111.146782","23.651484","-0.138889","96.42505505","1.04853451","450.02728077","2.23564183","87.83805458","32.74606735","21.90444948","0.68925023","8.008692780000001","1.53415062","100.33115389","66.910656","-204.754867","541.197336","32.817019","0.119318","47.024182","92.53418499999999","-13.3927","0.227005","7.568082","165.729599","0.397428"
"molecule192","-167.248816","283.212465","-5.33264983","-0.20512574","-0.08609592000000001","0.11902982","-0.04552253","910.7174556799999","1940.315","4","-1.754001","-0.4048","55.888031","5.348729","70","14.279999","4.57606","7.268632","4.258552","4.843379","3.379348","2.067656","212.877121","1689.043","754.5225830000001","52.78072","0.063148","216.09421625","1.05624296","2758.765","3.23187348","379.63768832","72.51645245","36.33453702","0.69706633","11.16444021","2.00337168","229.86152671","105.096387","-671.9857510000001","1769.612","41.860692","0.095804","118.419278","479.598076","-30.013113","0.123086","3.206919","176.308035","0.596495"
"molecule196","-32.27255","217.372854","-4.18646719","-0.18995515","0.04433701","0.23429217","-0.008929919999999999","727.39152451","1384.02","1","2.179801","2.505899","42.196007","7.924623","30","8.960000000000001","7.96","4.414214","1.707107","4.115355","2.556442","1.557678","53.302967","356.32782","241.946945","29.895315","8.917733999999999","159.37124351","0.81098067","1497.826","3.20638927","345.06235056","50.05782405","26.66390522","0.74325173","11.66079083","2.18060549","169.48487578","321.393785","-91.106516","1132.732","56.091446","0.146452","134.892603","398.944874","-6.190046","0.079391","3.809081","83.01608899999999","0.783249"
"molecule211","-154.136148","207.93375","-3.7380719","-0.18055888","-0.0624821","0.11807679","-0.04361772","697.14961839","1372.733","5","-1.1875","-1.2772","38.65731","5.957229","42","10.51","5.93061","5.201908","2.198585","3.362423","2.1171","1.191323","98.10749800000001","631.264893","332.817322","38.423607","0.251389","154.62114844","1.0553084","1311.148","2.67382762","290.06627782","45.55494217","32.62405064","0.694","9.8321463","1.6523201","164.90784446","106.472388","-372.732188","1060.667","49.176929","0.13725","83.264568","246.488101","-25.021921","0.210046","6.896973","220.619192","0.384264"
"molecule216","-102.458967","148.127825","-2.46569791","-0.21243676","-0.05916699","0.15326977","-0.03811823","547.95608745","950.71199942","4","-0.2081","-0.8318990000000001","25.682098","2.98208","30","7.260001","6.494743","3.625897","1.321367","2.044726","1.25718","0.443142","64","254.655457","161.477753","26.196987","-0.358796","105.78619327","1.10698754","800.07326326","2.44090778","184.21031981","37.44815569","20.99701697","0.71391304","9.026630519999999","1.83879097","110.72627612","33.289133","-309.593883","697.753648","36.716336","0.124214","48.606736","114.736201","-19.196849","0.2785","8.355385","194.920713","0.340571"
